12712	245	119	260	136	0

#HOLD WALKING LEFT
12722	185	119	200	136	0
12723	154	119	169	136	0

#HOLD WALKING RIGHT
12726	245	119	260	136	0
12727	275	119	291	136	0

#HOLD JUMP LEFT & RIGHT
12731	154	119	169	136	0
12732	275	119	292	136	0

#####  FOX ###############

#IDLE
13121	242	633	265	662	0
13111	181	633	204	662	0

#WALKING RIGHT
13222	271	633	294	662	0
13223	302	633	325	662	0

#WALKING LEFT
13212	151	633	174	662	0
13213	121	633	144	662	0

#RUNNING RIGHT
13321	330	633	355	662	0
13322	361	634	386	663	0
13323	392	634	415	663	0

#RUNNING LEFT
13311	90	633	115	662	0
13312	60	634	85	663	0
13313	31	634	56	663	0

#JUMP WALK RIGHT
13417	391	754	416	781	0
13413	30	754	55	781	0

#JUMP RUN RIGHT & LEFT
13427	360	754	385	781	0
13423	60	754	85	781	0

#SIT RIGHT & LEFT 
13521	392	718	415	737	0
13511	31	718	54	737	0

#BRACE RIGHT & LEFT 
13621	424	632	443	663	0
13611	4	632	21	663	0

#HOLD IDLE LEFT & RIGHT
13711	181	793	204	822	0
13712	241	793	264	822	0

#HOLD WALKING LEFT
13722	151	793	174	822	0
13723	121	793	144	822	0

#HOLD WALKING RIGHT
13726	271	793	294	822	0
13727	302	793	325	822	0


#HOLD JUMP LEFT & RIGHT
13731	121	793	144	822	0
13732	302	793	325	822	0

#DIE
13001	215	120	234	137	0

# ani_id	sprite1_id	time1	sprite2_id	time2	...

[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#HOLD IDLE LEFT & RIGHT
1010	11711	100
1011	11712	100

#HOLD WALKING LEFT & RIGHT
1020	11722	75	11723	75	11711	75
1021	11726	75	11727	75	11712	75

#HOLD JUMP LEFT & RIGHT
1030	11731	100
1031	11732	100


#DIE
999	13001	100

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

#HOLD IDLE LEFT & RIGHT
1610	12711	100
1611	12712	100

#HOLD WALKING LEFT & RIGHT
1620	12722	50	12723	50
1621	12726	50	12727	50

#HOLD JUMP LEFT & RIGHT
1630	12731	100
1631	12732	100

################### FOX #################
2400	13121	100
2401	13111	100

#WALKING RIGHT & LEFT 
2500	13121	100	13222	100	13223	100
2501	13111	100	13212	100	13213	100

#RUNNING RIGHT & LEFT
2600	13321	50	13322	50	13323	50
2601	13311	50	13312	50	13313	50

#JUMP WALK
2700	13417	100
2701	13413	100

#JUMP RUN
2800	13427	100
2801	13423	100

#SIT RIGHT & LEFT 
2900	13521	100
2901	13511	100

#BRACE RIGHT & LEFT 
3000	13621	100
3001	13611	100

#HOLD IDLE LEFT & RIGHT
3010	13711	100
3011	13712	100

#HOLD WALKING LEFT & RIGHT
3020	13722	75	13723	75	13711	75
3021	13726	75	13727	75	13712	75

#HOLD JUMP LEFT & RIGHT
3030	13731	100
3031	13732	100
